dacs,△Gooh,△Go,△Goh,Z_A,Z_B,r_A,r_B,R_A,R_B,N_A,N_B,EP_A,EP_B,EA_A,EA_B,IE_A,IE_B
MnIr,3.708122882,1.668078927,0.637007996,25,77,127,135.5,197,202,7,9,1.55,2.2,-0.5,1.564057,7.434,8.967
MnPt,3.454219392,1.53486811,0.52624408,25,78,127,138.5,197,209,7,10,1.55,2.2,-0.5,2.1251,7.434,8.9588
MnAu,3.443514868,1.04556261,0.198029971,25,79,127,144,197,217,7,11,1.55,2.4,-0.5,2.30861,7.434,9.2255
MnBi,-3.522131032,-0.228522149,-3.12625681,25,83,127,154.7,197,243,7,15,1.55,1.9,-0.5,0.942362,7.434,7.2855
FeTi,-3.613283311,0.792759713,-0.221446085,26,22,126,147,194,187,8,4,1.83,1.54,0.153236,0.07554,7.9024,6.8281
FeV,0.831500113,2.035082011,0.571126531,26,23,126,134,194,179,8,5,1.83,1.63,0.153236,0.52766,7.9024,6.7462
FeCr,4.042692711,2.101374506,0.816209925,26,24,126,128,194,189,8,6,1.83,1.66,0.153236,0.675928,7.9024,6.7665
FeMn,4.05425256,2.005112485,0.880758013,26,25,126,127,194,197,8,7,1.83,1.55,0.153236,-0.5,7.9024,7.434
FeFe,4.053484923,2.342258452,1.104308818,26,26,126,126,194,194,8,8,1.83,1.83,0.153236,0.153236,7.9024,7.9024
FeCo,4.041925073,2.243384464,1.041095868,26,27,126,125,194,192,8,9,1.83,1.88,0.153236,0.662255,7.9024,7.881
FeNi,3.915317145,1.996686214,0.804372893,26,28,126,124,194,184,8,10,1.83,1.91,0.153236,1.157368,7.9024,7.6399
FeCu,3.958238147,1.927164106,0.945854544,26,29,126,128,194,186,8,11,1.83,1.9,0.153236,1.23578,7.9024,7.7264
FeZn,3.916260596,2.011514462,0.916828214,26,30,126,134,194,210,8,12,1.83,1.65,0.153236,-0.6,7.9024,9.3942
FeZr,-4.097117516,0.578289946,-1.394209189,26,40,126,160,194,186,8,4,1.83,1.33,0.153236,0.433283,7.9024,6.6339
FeNb,-3.991074915,1.037937141,-0.389822051,26,41,126,146,194,207,8,5,1.83,1.6,0.153236,0.9174,7.9024,6.7589
FeMo,3.848939565,1.793131839,0.406519337,26,42,126,139,194,209,8,6,1.83,2.16,0.153236,0.74723,7.9024,7.0924
FeTc,3.836704597,1.895501369,0.53423924,26,43,126,136,194,209,8,7,1.83,2.1,0.153236,0.636,7.9024,7.28
FeRu,4.027867907,2.315624905,0.914624179,26,44,126,134,194,207,8,8,1.83,2.2,0.153236,1.04627,7.9024,7.3605
FeRh,4.081405308,2.122666239,0.843515718,26,45,126,134,194,195,8,9,1.83,2.28,0.153236,1.14289,7.9024,7.4589
FePd,3.802346666,1.800114403,0.81105114,26,46,126,137,194,202,8,10,1.83,2.2,0.153236,0.56214,7.9024,8.3369
FeAg,3.751285871,1.686739404,0.623756428,26,47,126,144,194,203,8,11,1.83,1.93,0.153236,1.30447,7.9024,7.5762
FeCd,-3.22087112,1.275417522,-0.176833178,26,48,126,148.9,194,230,8,12,1.83,1.69,0.153236,-0.7,7.9024,8.9938
FeIn,-4.126623652,0.84160511,-2.186106581,26,49,126,167,194,236,8,13,1.83,1.78,0.153236,0.38392,7.9024,5.7864
FeSn,-3.785186496,0.727731208,-2.829685819,26,50,126,151,194,233,8,14,1.83,1.96,0.153236,1.11207,7.9024,7.3439
FeW,3.836704597,1.750847443,0.297640498,26,74,126,139,194,210,8,6,1.83,1.7,0.153236,0.8165,7.9024,7.864
FeRe,3.848264447,2.010109701,0.543807501,26,75,126,137,194,217,8,7,1.83,1.9,0.153236,0.060396,7.9024,7.8335
FeOs,4.027867907,2.220865693,0.852056102,26,76,126,135,194,216,8,8,1.83,2.2,0.153236,1.077661,7.9024,8.4382
FeIr,4.107623027,2.070647045,0.933578987,26,77,126,135.5,194,202,8,9,1.83,2.2,0.153236,1.564057,7.9024,8.967
FePt,3.751363763,1.949236804,0.822815071,26,78,126,138.5,194,209,8,10,1.83,2.2,0.153236,2.1251,7.9024,8.9588
FeAu,3.74065924,1.437341233,0.494600962,26,79,126,144,194,217,8,11,1.83,2.4,0.153236,2.30861,7.9024,9.2255
FeBi,-3.785186496,0.665930092,-2.829685819,26,83,126,154.7,194,243,8,15,1.83,1.9,0.153236,0.942362,7.9024,7.2855
CoTi,-3.39508399,2.562901804,0.483732265,27,22,125,147,192,187,9,4,1.88,1.54,0.662255,0.07554,7.881,6.8281
CoV,1.814274624,3.388116243,1.27630488,27,23,125,134,192,179,9,5,1.88,1.63,0.662255,0.52766,7.881,6.7462
CoCr,4.548087005,3.454931156,1.521388275,27,24,125,128,192,189,9,6,1.88,1.66,0.662255,0.675928,7.881,6.7665
CoMn,4.575405232,3.273715206,1.585936362,27,25,125,127,192,197,9,7,1.88,1.55,0.662255,-0.5,7.881,7.434
CoFe,4.558879217,3.380533698,1.809487168,27,26,125,126,192,194,9,8,1.88,1.83,0.662255,0.153236,7.881,7.9024
CoCo,4.547319367,3.205175998,1.746274218,27,27,125,125,192,192,9,9,1.88,1.88,0.662255,0.662255,7.881,7.881
CoNi,4.287058967,2.964127946,1.509551242,27,28,125,124,192,184,9,10,1.88,1.91,0.662255,1.157368,7.881,7.6399
CoCu,4.302798087,2.896400889,1.651032893,27,29,125,128,192,186,9,11,1.88,1.9,0.662255,1.23578,7.881,7.7264
CoZn,4.260820536,3.147679128,1.622006564,27,30,125,134,192,210,9,12,1.88,1.65,0.662255,-0.6,7.881,9.3942
CoZr,-3.878918196,2.339833456,-0.68903084,27,40,125,160,192,186,9,4,1.88,1.33,0.662255,0.433283,7.881,6.6339
CoNb,-3.788633973,2.806933826,0.315356299,27,41,125,146,192,207,9,5,1.88,1.6,0.662255,0.9174,7.881,6.7589
CoMo,4.354333859,2.897275625,1.111697686,27,42,125,139,192,209,9,6,1.88,2.16,0.662255,0.74723,7.881,7.0924
CoTc,4.342098891,2.96909463,1.23941759,27,43,125,136,192,209,9,7,1.88,2.1,0.662255,0.636,7.881,7.28
CoRu,4.533262201,3.378478738,1.619802529,27,44,125,134,192,207,9,8,1.88,2.2,0.662255,1.04627,7.881,7.3605
CoRh,4.586799602,3.027413763,1.548694067,27,45,125,134,192,195,9,9,1.88,2.28,0.662255,1.14289,7.881,7.4589
CoPd,4.174088489,2.748222758,1.51622949,27,46,125,137,192,202,9,10,1.88,2.2,0.662255,0.56214,7.881,8.3369
CoAg,4.07359969,2.620840837,1.328934778,27,47,125,144,192,203,9,11,1.88,1.93,0.662255,1.30447,7.881,7.5762
CoCd,-3.179264532,2.848161407,0.528345171,27,48,125,148.9,192,230,9,12,1.88,1.69,0.662255,-0.7,7.881,8.9938
CoIn,-4.087511358,2.32403451,-1.480928231,27,49,125,167,192,236,9,13,1.88,1.78,0.662255,0.38392,7.881,5.7864
CoSn,-3.743579908,2.137467621,-2.12450747,27,50,125,151,192,233,9,14,1.88,1.96,0.662255,1.11207,7.881,7.3439
CoW,4.342098891,3.043380754,1.002818847,27,74,125,139,192,210,9,6,1.88,1.7,0.662255,0.8165,7.881,7.864
CoRe,4.353658741,3.100641117,1.248985851,27,75,125,137,192,217,9,7,1.88,1.9,0.662255,0.060396,7.881,7.8335
CoOs,4.533262201,3.287496921,1.557234452,27,76,125,135,192,216,9,8,1.88,2.2,0.662255,1.077661,7.881,8.4382
CoIr,4.563589318,2.927844734,1.638757337,27,77,125,135.5,192,202,9,9,1.88,2.2,0.662255,1.564057,7.881,8.967
CoPt,4.073677583,2.934624158,1.52799342,27,78,125,138.5,192,209,9,10,1.88,2.2,0.662255,2.1251,7.881,8.9588
CoAu,4.004352115,2.344981861,1.199779311,27,79,125,144,192,217,9,11,1.88,2.4,0.662255,2.30861,7.881,9.2255
CoBi,-3.743579908,2.110228042,-2.12450747,27,83,125,154.7,192,243,9,15,1.88,1.9,0.662255,0.942362,7.881,7.2855
NiTi,-3.484907543,3.355328393,0.592778696,28,22,124,147,184,187,10,4,1.91,1.54,1.157368,0.07554,7.6399,6.8281
NiV,1.709935405,4.323959673,1.385351312,28,23,124,134,184,179,10,5,1.91,1.63,1.157368,0.52766,7.6399,6.7462
NiCr,4.520735106,4.363273879,1.630434706,28,24,124,128,184,189,10,6,1.91,1.66,1.157368,0.675928,7.6399,6.7665
NiMn,4.536493484,4.267847291,1.694982793,28,25,124,127,184,197,10,7,1.91,1.55,1.157368,-0.5,7.6399,7.434
NiFe,4.618355186,4.370128996,1.918533599,28,26,124,126,184,194,10,8,1.91,1.83,1.157368,0.153236,7.6399,7.9024
NiCo,4.64356297,4.168840103,1.855320649,28,27,124,125,184,192,10,9,1.91,1.88,1.157368,0.662255,7.6399,7.881
NiNi,4.60747771,3.806314167,1.618597673,28,28,124,124,184,184,10,10,1.91,1.91,1.157368,1.157368,7.6399,7.6399
NiCu,4.540447165,3.716423063,1.760079325,28,29,124,128,184,186,10,11,1.91,1.9,1.157368,1.23578,7.6399,7.7264
NiZn,4.486909764,3.7464451,1.731052995,28,30,124,134,184,210,10,12,1.91,1.65,1.157368,-0.6,7.6399,9.3942
NiZr,-4.035009878,3.059135665,-0.579984409,28,40,124,160,184,186,10,4,1.91,1.33,1.157368,0.433283,7.6399,6.6339
NiNb,-3.919525053,3.715784314,0.42440273,28,41,124,146,184,207,10,5,1.91,1.6,1.157368,0.9174,7.6399,6.7589
NiMo,4.390983778,3.815234719,1.220744117,28,42,124,139,184,209,10,6,1.91,2.16,1.157368,0.74723,7.6399,7.0924
NiTc,4.37874881,3.922820834,1.348464021,28,43,124,136,184,209,10,7,1.91,2.1,1.157368,0.636,7.6399,7.28
NiRu,4.510022208,4.241494974,1.72884896,28,44,124,134,184,207,10,8,1.91,2.2,1.157368,1.04627,7.6399,7.3605
NiRh,4.588767393,3.878322723,1.657740499,28,45,124,134,184,195,10,9,1.91,2.28,1.157368,1.14289,7.6399,7.4589
NiPd,4.40023142,3.638714505,1.625275921,28,46,124,137,184,202,10,10,1.91,2.2,1.157368,0.56214,7.6399,8.3369
NiAg,4.328791335,3.443641676,1.437981209,28,47,124,144,184,203,10,11,1.91,1.93,1.157368,1.30447,7.6399,7.5762
NiCd,-3.119252793,3.209615224,0.637391602,28,48,124,148.9,184,230,10,12,1.91,1.69,1.157368,-0.7,7.6399,8.9938
NiIn,-4.246326959,2.804013996,-1.3718818,28,49,124,167,184,236,10,13,1.91,1.78,1.157368,0.38392,7.6399,5.7864
NiSn,-3.67200832,2.614061305,-2.015461039,28,50,124,151,184,233,10,14,1.91,1.96,1.157368,1.11207,7.6399,7.3439
NiW,4.362202056,4.093065342,1.111865278,28,74,124,139,184,210,10,6,1.91,1.7,1.157368,0.8165,7.6399,7.864
NiRe,4.24703637,4.087501738,1.358032282,28,75,124,137,184,217,10,7,1.91,1.9,1.157368,0.060396,7.6399,7.8335
NiOs,4.378309768,4.232274141,1.666280883,28,76,124,135,184,216,10,8,1.91,2.2,1.157368,1.077661,7.6399,8.4382
NiIr,4.549010356,3.774993719,1.747803768,28,77,124,135.5,184,202,10,9,1.91,2.2,1.157368,1.564057,7.6399,8.967
NiPt,4.28327376,3.834562411,1.637039851,28,78,124,138.5,184,209,10,10,1.91,2.2,1.157368,2.1251,7.6399,8.9588
NiAu,4.137688855,3.365075147,1.308825742,28,79,124,144,184,217,10,11,1.91,2.4,1.157368,2.30861,7.6399,9.2255
NiBi,-3.688555074,2.60931009,-2.015461039,28,83,124,154.7,184,243,10,15,1.91,1.9,1.157368,0.942362,7.6399,7.2855
CuTi,-3.484907543,2.450329667,0.232503945,29,22,128,147,186,187,11,4,1.9,1.54,1.23578,0.07554,7.7264,6.8281
CuV,1.709935405,3.280237892,1.025076561,29,23,128,134,186,179,11,5,1.9,1.63,1.23578,0.52766,7.7264,6.7462
CuCr,4.520735106,3.231879013,1.270159955,29,24,128,128,186,189,11,6,1.9,1.66,1.23578,0.675928,7.7264,6.7665
CuMn,4.536493484,3.390637907,1.334708043,29,25,128,127,186,197,11,7,1.9,1.55,1.23578,-0.5,7.7264,7.434
CuFe,4.552938666,3.662465926,1.558258848,29,26,128,126,186,194,11,8,1.9,1.83,1.23578,0.153236,7.7264,7.9024
CuCo,4.57814645,3.460433918,1.495045898,29,27,128,125,186,192,11,9,1.9,1.88,1.23578,0.662255,7.7264,7.881
CuNi,4.54206119,3.128861152,1.258322923,29,28,128,124,186,184,11,10,1.9,1.91,1.23578,1.157368,7.7264,7.6399
CuCu,4.540447165,3.051648467,1.399804574,29,29,128,128,186,186,11,11,1.9,1.9,1.23578,1.23578,7.7264,7.7264
CuZn,4.486909764,3.017029212,1.370778244,29,30,128,134,186,210,11,12,1.9,1.65,1.23578,-0.6,7.7264,9.3942
CuZr,-4.035009878,2.193950752,-0.940259159,29,40,128,160,186,186,11,4,1.9,1.33,1.23578,0.433283,7.7264,6.6339
CuNb,-3.919525053,2.375354467,0.064127979,29,41,128,146,186,207,11,5,1.9,1.6,1.23578,0.9174,7.7264,6.7589
CuMo,4.390983778,2.682138644,0.860469367,29,42,128,139,186,209,11,6,1.9,2.16,1.23578,0.74723,7.7264,7.0924
